,id,title,assignee,abstract,title_en,assignee_en,abstract_en,label_id
0,538f267d2e6fba48b1286fb7f1499fe7,一种信号的发送方法及基站、用户设备,华为技术有限公司,一种信号的发送方法及基站、用户设备。在一个子帧中为多个用户设备配置的参考信号的符号和数据的符号在子帧中的时域位置关系满足前提一和前提二；前提一为，将每个用户设备的参考信号所需的资源包括在多个参考信号的符号中，前提二为以下条件中的至少一个：将每个用户设备的多个参考信号设置在每个用户设备的数据的符号之前的参考信号的符号中，和/或每个用户设备的数据的符号之后的参考信号的符号中，从而有效地节省了发送参考信号的开销，满足了资源设计的需求；且部分或全部用户设备可在多个参考信号的符号中包含其参考信号，使该用户设备的解调性能得到进一步改善。,"Signal transmission method, base station and user equipment",Huawei Technology Co. Ltd.,"The invention relates to a method for transmitting a signal, a base station and user equipment. The time domain position relationship between the symbols of the reference signal and the symbols of the data configured for multiple user equipment in a subframe satisfies premise one and premise two. The first premise is that the resources required for the reference signal of each user equipment are included in the symbols of a plurality of reference signals, and the second premise is at least one of the following conditions: the multiple reference signals of each user equipment are arranged in the symbols of the reference signals before the symbols of the data of each user equipment, and / or in the symbols of the reference signals after the symbols of the data of each user equipment. As a result, the cost of sending reference signals is effectively saved and the requirements of resource design are met. And some or all of the user equipment can include its reference signal in the symbols of a plurality of reference signals, so that the demodulation performance of the user equipment is further improved.",0
1,635a7d4b6358b6ff24a324bb871505db,一种5G通讯电缆故障监控系统,中铁二十二局集团电气化工程有限公司,本发明公开了一种5G通讯电缆故障监控系统，包括信号采样模块、补偿反馈模块，所述信号采样模块对5G通讯电缆信号采样，信号采样模块连接补偿反馈模块，补偿反馈模块运用三极管Q1、电容C3和电感L2、电容C2组成高频补偿电路展宽信号的通频带，为了进一步保证滤除扰动信号的准确性，避免异常高电平信号击穿电感L3，运用三极管Q4检测运放器AR2输出端信号，将异常高电平信号经电阻R14分压，最后运用运放器AR3同相放大信号，三极管Q5进一步三极管运放器AR3输出信号、三极管Q3发射极信号电位差，运用三极管Q2反馈信号至运放器AR2输出端，对运放器AR3输出信号峰值进一步校准，5G通讯电缆故障监控系统终端能够及时对5G通讯电缆故障及时响应。,A Fault Monitoring system for 5G Communication Cable,"China Railway 22 Bureau Group electrification Engineering Co., Ltd.","The invention discloses a 5G communication cable fault monitoring system, which comprises a signal sampling module and a compensation feedback module. The signal sampling module samples the signal of the 5G communication cable, and the signal sampling module is connected with the compensation feedback module. The compensation feedback module uses transistor Q1, capacitor C3, inductor L2 and capacitor C2 to widen the pass band of the high frequency compensation circuit, in order to further ensure the accuracy of filtering the disturbance signal. To avoid the abnormal high level signal breaking down the inductor L3, use the transistor Q4 to detect the AR2 output signal of the operational amplifier, divide the abnormal high signal through the resistance R14, and finally use the operational amplifier AR3 to amplify the signal in the same phase. The transistor Q5 further amplifies the AR3 output signal of the transistor operational amplifier and the potential difference of the transistor Q3 emitter signal. The transistor Q2 feedback signal is used to the operational amplifier AR2 output to further calibrate the peak value of the operational amplifier AR3 output signal. The terminal of 5G communication cable fault monitoring system can respond to 5G communication cable failure in time.",0
2,aaf98d6bfe1932cf1a262812ca59d1ba,一种测试方法及电子设备,腾讯科技(北京)有限公司,本发明提供了一种测试方法及电子设备，该方法包括：基于选取的测试任务确定目标测试用例，根据所述目标测试用例确定对应的至少一个测试步骤；从至少一个测试环境中选取得到目标测试环境，根据所述目标测试环境确定目标域名信息以及目标地址信息；基于所述目标域名信息以及所述目标地址信息，构建所述测试步骤对应的测试请求；发送测试请求至服务器侧，获取到所述服务器侧反馈的测试结果。,Test method and electronic device,"Tencent Technology (Beijing) Co., Ltd.","The invention provides a test method and an electronic device. The method comprises the following steps: a target test case is determined based on the selected test task, and at least one test step is determined according to the target test case; the target test environment is selected from at least one test environment, and the target domain name information and target address information are determined according to the target test environment. Based on the target domain name information and the target address information, a test request corresponding to the test step is constructed; the test request is sent to the server side to obtain the test results fed back by the server side.",0
3,ad49c9ba6412452d9b25071af702f4fb,天线方位角调节装置,武汉虹信通信技术有限责任公司,一种天线方位角调节装置，包括对向的两个8字形支架(101)、动力输入电机(102)、主动齿轮(103)、外螺圈(104)和内螺杆(105)，对向的两个8字形支架(101)互配作基本支撑，主动齿轮(103)与外螺圈(104)外缘齿相切啮合，通过8字形支架(101)平行固定轴心并联动，动力输入电机(102)直接或转接与主动齿轮(103)同轴固定；动力输入电机(102)直接驱动主动齿轮(103)，主动齿轮(103)驱动外螺圈(104)旋转，外螺圈(104)中心处中有贯穿的内螺纹孔，内螺杆(105)的外螺纹与外螺圈(104)的内螺纹旋合，从螺孔中穿出。本发明改变传统，减少空间需求，增强结构布局灵活性。,Antenna azimuth adjusting device,"Wuhan Hongxin Communication Technology Co., Ltd.","An antenna azimuth adjusting device comprises two opposite figure 8 brackets (101), a power input motor (102), a driving gear (103), an outer spiral ring (104) and an inner screw (105). The two figure 8 brackets (101) in the opposite direction are matched with each other as basic support, and the driving gear (103) is tangent to the outer edge teeth of the outer helix ring (104), and the axis is parallel fixed and linked through the figure 8 bracket (101). The power input motor (102) is directly or transferred coaxially fixed with the driving gear (103). The power input motor (102) directly drives the driving gear (103), and the driving gear (103) drives the outer ring (104) to rotate, and an inner thread hole is arranged in the center of the outer ring (104). The external thread of the inner screw rod (105) is screwed with the internal thread of the outer ring (104) and passes through the screw hole. The invention changes the tradition, reduces the space demand and enhances the flexibility of the structure layout.",0
4,ffa2d7617b3eac3a1d7df01e5bb515a2,光纤老化预测方法及装置,新华三大数据技术有限公司,本申请提供一种光纤老化预测方法及装置，所述方法包括：获取待测光纤模块可接收的光信号的告警阈值；获取待测光纤模块接收到的，满足预设条件的多个历史光功率采样值和与各历史光功率采样值一一对应的多个历史采样时间点；根据多个历史光功率采样值和多个历史采样时间点进行多项式回归计算得到预测模型；通过预测模型计算待测光纤模块接收到的光信号的光功率下降至告警阈值的老化极限时间点。如此，可以根据接入待测光纤模块的光纤的实际老化情况估计老化极限时间点，使得对光纤可用年限的估计更为准确可靠。,Optical fiber aging prediction method and device,"Xinhua San big data Technology Co., Ltd.","The application provides an optical fiber aging prediction method and a device thereof. the method includes: obtaining the alarm threshold of the optical signal that can be received by the optical fiber module to be tested; and obtaining the optical fiber module to be tested. a plurality of historical optical power sampling values that meet the preset conditions and a plurality of historical sampling time points corresponding to each historical optical power sampling value. The prediction model is obtained by polynomial regression calculation according to multiple historical optical power sampling values and historical sampling time points. Through the prediction model, the optical power of the optical signal received by the optical fiber module to be tested decreases to the aging limit time point of the alarm threshold. In this way, the aging limit time point can be estimated according to the actual aging situation of the optical fiber connected to the optical fiber module to be tested, which makes the estimation of the useful life of the optical fiber more accurate and reliable.",0
5,fb9daf0eae1ae83da62c2733051b6a5f,用于在所选无线电接入网络中操作无线设备的方法,泰雷兹数字安全德国有限公司,在无线蜂窝网络中操作无线设备（1）的方法，无线设备（1）包括通信单元（2），无线蜂窝网络包括至少两个无线电接入网络（8），通信单元（2）被配置成向作为无线蜂窝网络的部分的网络节点通信，所述网络节点被关联到第一无线电接入网络，所述方法包括针对通信单元的以下步骤：检测所述无线蜂窝网络的第二无线电接入网络是否满足预定义的接入参数集（83），其中第二无线电接入网络支持与第一无线电接入网络不同的接入技术，如果检测步骤指示所述第二无线电接入网络满足所述接入参数集：向网络节点发送连接释放指示（S4），从网络节点接收连接释放确认消息（S5），向无线蜂窝网络发送具有对所述第二无线电接入网络的选择的连接请求消息（S6）。,Method for operating a wireless device in a selected radio access network,Therese Digital Security Germany Ltd.,"A method of operating a wireless device (1) in a wireless cellular network, the wireless device (1) comprising a communication unit (2), and the wireless cellular network comprising at least two radio access networks (8). The communication unit (2) is configured to communicate with a network node that is part of the wireless cellular network, the network node being associated with the first radio access network The method includes the following steps for a communication unit: detecting whether a second radio access network of the wireless cellular network satisfies a predefined set of access parameters (83), wherein the second radio access network supports an access technology different from the first radio access network, if the detection step indicates that the second radio access network satisfies the access parameter set: sending a connection release indication (S4) to the network node A connection release confirmation message (S5) is received from a network node, and a connection request message (S6) with a selection of the second radio access network is transmitted to the wireless cellular network.",0
6,345d43d05fa37f72616336e93ab22629,通信方法、装置、客户端及计算机存储介质,数贸科技(北京)有限公司,本发明公开了一种通信方法、装置、客户端及计算机存储介质。其中，方法包括：实时监测客户端与服务器端之间在第一预设时间段是否通过TCP服务进行过通信；若否，则启动TCP服务中的预设线程向服务器端发送协议包，以供服务器端确定是否允许客户端将通信服务由TCP服务切换为UDP服务；接收服务器端响应该协议包而发送的第一数据包；对第一数据包进行解析，得到第一数据包的类型以及第一数据包中预置的编码；若第一数据包为第一类型的数据包，且预置的编码为预设编码，则将通信服务由TCP服务切换为UDP服务，既能在一定程度上保持客户端与服务器端之间数据包传输的实时性，又能减轻服务器端的压力，节省服务器端资源，节省成本。,"Communication method, device, client and computer storage medium","Digital Trade Technology (Beijing) Co., Ltd.","The invention discloses a communication method, a device, a client and a computer storage medium. The method includes: real-time monitoring whether the client and the server communicate through the TCP service in the first preset time period; if not, starting the preset thread in the TCP service to send a protocol packet to the server side to determine whether the client is allowed to switch the communication service from the TCP service to the UDP service; and receiving the first data packet sent by the server side in response to the protocol packet Parse the first packet to get the type of the first packet and the preset encoding in the first packet If the first data packet is the first type of data packet and the preset coding is preset coding, the communication service can be switched from TCP service to UDP service, which can not only maintain the real-time data packet transmission between the client and the server to a certain extent, but also reduce the pressure on the server, save the server resources and save the cost.",0
7,d86b8c44d7bf9f43f898c175d7d548ee,一种与NFV虚拟安全网关相连的网元设备,武汉思普崚技术有限公司,本发明公开了一种NFV虚拟安全网关与网元设备，NFV虚拟安全网关在通用硬件平台上的一个虚拟机上实现，通过物理网卡接收数据，能够根据多个虚拟机的负载空闲情况、以及深度识别和管道流控的任务量，自动部署网关功能，实现更加灵活的安全防控。,A network element device connected to a NFV virtual security gateway,"Wuhan Sipu Technology Co., Ltd.","The invention discloses a NFV virtual security gateway and a network element device. The NFV virtual security gateway is realized on a virtual machine on a general hardware platform, receives data through a physical network card, and can automatically deploy the gateway function according to the idle load of a plurality of virtual machines and the task of deep identification and pipeline flow control, so as to realize more flexible security prevention and control.",0
8,ff4ded4c436c16de67a6341ae9d0db1f,下行同步方法和设备,华为技术有限公司,本申请实施例提供一种下行同步方法和设备，网络设备根据同步信号阵集的传输周期中各个无线帧的帧号，以及各个无线帧中同步信号块的时间索引号，生成各个无线帧中的同步信号块；传输周期包括两个连续的无线帧；同步信号阵集包括M个同步信号块；然后向终端发送两个连续的无线帧，其中，一个无线帧中包括同步信号阵集中的一部分同步信号块，另一个无线帧中包括同步信号阵集中的另一部分同步信号块。两个连续的无线帧上均包括同步信号块，不同无线帧中的同步信号块不同，可通过不同无线帧中的同步信号块来指示不同无线帧的帧号，还可通过不同的同步信号块来指示不同同步信号块的时间索引号，节省了指示同步信号块的时间位置所需占用的资源。,Downlink synchronization method and device,Huawei Technology Co. Ltd.,"The embodiment of the application provides a downlink synchronization method and device, wherein the network equipment generates a synchronization signal block in each wireless frame according to the frame number of each wireless frame in the transmission cycle of the synchronization signal array set and the time index number of the synchronization signal block in each wireless frame; the transmission period includes two consecutive wireless frames; the synchronization signal array set includes M synchronization signal blocks. Two consecutive wireless frames are then transmitted to the terminal, wherein one wireless frame includes a portion of the synchronization signal block in the synchronization signal matrix set, and the other wireless frame includes another part of the synchronization signal block in the synchronization signal array set. The synchronization signal blocks are included in two consecutive wireless frames, and the synchronization signal blocks in different wireless frames are different, and the frame numbers of different wireless frames can be indicated by the synchronization signal blocks in different wireless frames. The time index numbers of different synchronization signal blocks can also be indicated by different synchronization signal blocks, thus saving the resources needed to indicate the time position of the synchronization signal block.",0
9,18f129e447c4e1d209bbd02bd0709151,用于估计预期的接收质量的方法和装置,大众汽车有限公司,本发明涉及一种用于估计在车对X(C2X)通信的时间间隔(Δt2)中的预期接收质量的方法和设备(1)，包括：接收装置(2)，用于获取数据分组(6，9)；和存储器(4)，其中所述存储器(4)中对于第一时间间隔(Δt1)中的数据分组(6)的接收模式(EM)存储至少一个经验确定的参量，其指示或可以用于确定在随后的第二时间间隔(Δt2)中成功接收一个数据分组(9)或n个数据分组(9)的概率(PS)有多高，其中所述设备(1)被设计为，确定用于时间间隔(Δt2)之前的第一时间间隔(Δt1)的接收模式(EM)和从所述存储器(4)中读取用于时间间隔(Δt2)的相关概率(P)，其中基于所述概率(P)产生警告信息和/或改变驾驶辅助功能的传输参数和/或功能。,Method and apparatus for estimating expected reception quality,"Volkswagen Motor Co., Ltd.","The invention relates to a method and apparatus (1) for estimating the expected reception quality in a time interval (Δ T2) of vehicle-to-X (C2X) communication, comprising receiving means (2) for obtaining data packets (6pc9). And a memory (4), wherein the memory (4) stores at least one empirically determined parameter for the reception mode (EM) of the data packet (6) in the first time interval (Δ T1), which indicates or can be used to determine the probability (PS) of successfully receiving one data packet (9) or n data packets (9) in a subsequent second time interval (Δ T2), wherein the device (1) is designed to A reception mode (EM) for a first time interval (Δ T1) before the time interval (Δ T2) is determined and a correlation probability (P) for the time interval (Δ T2) is read from the memory (4), wherein a warning message is generated and / or the transmission parameters and / or functions of the driving assistance function are changed based on the probability (P).",0
